collection,series,piece,item,Covering_date,Type,Former Reference,Agenda
CAB,195,4,74,7-Nov-46,Notebook,CM (46) 95,1. Food Situation in Germany; 2. International Organisations; 3. Divorce; 4. Exchange Control Bill; 5. Princess Elizabeth: Twenty first Birthday; 6. Relief for Salford
CAB,195,4,75,14-Nov-46,Notebook,CM (46) 96,1. Parliament; 2. Egypt; 3. Transport Bill; 4. Winter Fuel Supplies for Industry; 5. Licensing of Civic Restaturants
CAB,195,4,76,18-Nov-46,Notebook,CM (46) 97,1. Anglo-Egyptian Treaty; 2. Spain; 3. Indians in South Africa; 4. Germany; 5. Parliament: Debate on Address
CAB,195,4,77,19-Nov-46,Notebook,CM (46) 98,1. Indonesia: Political Settlement; 2. Food: Butter for Canada; 3. Socialisation of Ruhr Industries; 4. Winter Fuel Supplies for Industry; 5. Indian Services. Compensation to Officers
CAB,195,4,78,21-Nov-46,Notebook,CM (46) 99,1. Parliament; 2. Admission of Poles to Civil Employment; 3. Palestine; 4. Use of Veto in Security Council; 5. Gift Food Parcels for Overseas; 6. Germany
CAB,195,4,79,25-Nov-46,Notebook,CM (46) 100,1. Civil Service Staffs; 2. Germany: Fusion of British &amp; U.S. Zones; 3. India. Constituent Assembly; 4. Labour Party Meeting; 5. Fuel Supplies for Industry
CAB,195,4,80,28-Nov-46,Notebook,CM (46) 101,1. Parliament; 2. Palestine; 3. Shipping: Inter-Governmental Organisation
CAB,195,4,81,2-Dec-46,Notebook,CM (46) 102,Germany. Financing of British and U.S. Zones
CAB,195,4,82,5-Dec-46,Notebook,CM (46) 103,1. Parliament; 2. Burma; 3. Agriculture Bill; 4. Malayan Constitution; 5. Man Power. Demobilisation; 6. Parliamentary Labour Party Committees
CAB,195,4,83,10-Dec-46,Notebook,CM (46) 104,1. Egypt; 2. Persia; 3. Spain; 4. Return to U.N. of Numbers of Troops; 5. India; 6. Burma; 7. Palestine: Arrest on High Seas; 8. Germany. Coal Exports; 9. Royalist Yugoslavs in Germany
CAB,195,4,84,12-Dec-46,Notebook,CM (46) 105,1. Parliament; 2. Socialisation of Ruhr Industries; 3. Burma; 4. Egypt: Withdrawal of Troops; 5. Town and Country Planning Bill; 6. Clothing Ration
CAB,195,4,85,16-Dec-46,Notebook,CM (46) 106,1. Egypt; 2. Wheat Supplies; 3. Clothes Rationing; 4. India
CAB,195,4,86,19-Dec-46,Notebook,CM (46) 107,1. Parliament; 2. Burma; 3. India: Compensation for S. OF S. Services; 4. Town and Country Planning Bill; 5. Electricity Bill; 6. Shipping Policy; 7. Palestine: Arrest of Ships on High Seas
CAB,195,4,87,31-Dec-46,Notebook,CM (46) 108,India
CAB,195,5,1,2-Jan-47,Notebook,CM (47) 1,Foreign Affairs: a) Peace Treaties - b) Trieste - c) Germany - d) Austria - e) United Nations Assembly - f) Food Supplies
CAB,195,5,2,6-Jan-47,Notebook,CM (47) 2,Foreign Affairs: a) Trieste - b) Italian Navy - c) Finland and Balkan Treaties - d) Germany - e) Austria - f) Spain - g) France: Economic Planning - h) Use of Veto at U. Nations - i) Germany: Socialisation of Ruhr Industries - j) Publication of Cabinet Agenda - k) Albania - l) Egypt Treaty
CAB,195,5,3,7-Jan-47,Notebook,CM (47) 3,1. Coal and Electricity
CAB,195,5,4,8-Jan-47,Notebook,CM (47) 4,1. India; 2. Arab States in Persian Gulf: Administration; 3. Turkish Wheat
CAB,195,5,5,13-Jan-47,Notebook,CM (47) 5,1. Transport Workers Strike; 2. Ground Nuts; 3. Japanese Reparation; 4. Malta: Constitution: 5. Subversive Activities
CAB,195,5,6,15-Jan-47,Notebook,CM (47) 6,1. Road Transport Strike; 2. Palestine: Use of Troops; 3. Palestine: Long-term Policy
CAB,195,5,7,16-Jan-47,Notebook,CM (47) 7,1. Road Transport Strike; 2. Economic Survey for 1947
CAB,195,5,8,16-Jan-47,Notebook,CM (47) 8,1. Road Transport Strike; 2. Economic Survey for 1947
CAB,195,5,9,17-Jan-47,Notebook,CM (47) 9,1. Leakages of Information; 2. Economic Survey for 1947; 3. Road Transport Strike; 4. Burma Conversations
CAB,195,5,10,21-Jan-47,Notebook,CM (47) 10,1. Deserters; 2. Defence Estimates; 3. Maritime Consultation Organisation; 4. International Labour Organisation
CAB,195,5,11,22-Jan-47,Notebook,CM (47) 11,1. Parliament; 2. Palestine; 3. Economic Survey
CAB,195,5,12,27-Jan-47,Notebook,CM (47) 12,1. Burma; 2. Egypt; 3. Palestine
CAB,195,5,13,28-Jan-47,Notebook,CM (47) 13,1. Defence Estimates; 2. Closer Economic Co-operation with Western Europe; 3. Food Supplies; 4. Palestine
CAB,195,5,14,30-Jan-47,Notebook,CM (47) 14,1. Parliament; 2. Civic Restaurants Bill; 3. International Trade Organisation; 4. Greece and Turkey; 5. Employment of Women; 6. Economic Survey. White Paper; 7. Women's Land Army
CAB,195,5,15,3-Feb-47,Notebook,CM (47) 15,Foreign Affairs and Defence
CAB,195,5,16,4-Feb-47,Notebook,CM (47) 16,1. Fuel Situation: Austin Motors Works; 2. Socialisation of Ruhr Industries; 3. Russia: Anglo Soviet Treaty
CAB,195,5,17,6-Feb-47,Notebook,CM (47) 17,1. Death of Miss Wilkinson; 2. Parliament; 3. Coal Situation
CAB,195,5,18,7-Feb-47,Notebook,CM (47) 18,1. Coal: Parliamentary Debate; 2. Palestine
CAB,195,5,19,10-Feb-47,Notebook,CM (47) 19,Coal Situation - Greyhound Tracks - Transport - Special Publicity for today's Announcement - Government Factories and Offices
CAB,195,5,20,11-Feb-47,Notebook,CM (47) 20,1. Mr. Tomlinson; 2. Egypt; 3. Coal; 4. Defence White Paper; 5. National Service Bill; 6. Cyprus
CAB,195,5,21,13-Feb-47,Notebook,CM (47) 21,"1. Coal; 2. Parliament; 3. Economic Survey; 4. Paper for ""Action"""
CAB,195,5,22,14-Feb-47,Notebook,CM (47) 22,1. Coal; 2. Palestine
CAB,195,5,23,18-Feb-47,Notebook,CM (47) 23,1. India: Constitutional Position; 2. Foreign Marriage Act 1892; 3. Palestine; 4. Inducements for Coal Miners; 5. Princess Elizabeth
CAB,195,5,24,20-Feb-47,Notebook,CM (47) 24,1. Coal; 2. Parliament; 3. War Office Supplementary Estimates; 4. Police College; 5. India
CAB,195,5,25,27-Feb-47,Notebook,CM (47) 25,1. Stevenage and Plymouth Orders; 2. Parliament; 3. Germany: Moscow Conference; 4. Anglo French Alliance
CAB,195,5,26,6-Mar-47,Notebook,CM (47) 26,1. India: H/Commons Debate; 2. Parliament; 3. Civil Service Man Power; 4. Germany: Socialisation of Ruhr Industries; 5. Electricity Supply Nationalisation Bill; 6. Shipping for Migrants to Australia; 7. Electoral Legislation; 8. International Labour Conference
CAB,195,5,27,11-Mar-47,Notebook,CM (47) 27,1. South Persia; 2. Reform of Legal Procedure; 3. Air Navigation Bill; 4. Electricity Bill: Compensation to Local Authorities; 5. Coal: Five Day Week: Imports of Coal.
CAB,195,5,28,13-Mar-47,Notebook,CM (47) 28,1. Compensation on Compulsory Acquisition; 2. German Prisoners of War; 3. Transport Bill. C. Licences; 4. Parliament; 5. Parliamentary Procedure; 6. Mid-week Sporting Events
CAB,195,5,29,18-Mar-47,Notebook,CM (47) 29,1. Anglo-Soviet Treaty; 2. Cyprus; 3. Palestine; 4. Debate on Defence White Paper; 5. Expansion of Fuel: Power Resources; 6. Care of Deprived Children: Central Responsibility; 7. Imprisonment (German and Austrian Sentences) Bill; 8. Abolition of Special Juries; 9. Coal: Five Day Week
CAB,195,5,30,20-Mar-47,Notebook,CM (47) 30,1. Palestine; 2. Military Mission in Greece; 3. Parliament; 4. Legislative Programme for 1947/48 Session; 5. Food: Discussions in North America; 6. New Zealand and the Statute of Westminster
CAB,195,5,31,21-Mar-47,Notebook,CM (47) 31,Coal Imports from U.S.A.
CAB,195,5,32,25-Mar-47,Notebook,CM (47) 32,1. Cyprus; 2. Greyhound Racing Bill; 3. National Service Bill; 4. Gold Coast Trials; 5. Divorce: Reconciliation Machinery; 6. Domestic Fuel Rationing; 7. Coal: Imports from U.S.A. and South Africa; 8. Floods: Relief and Compensation; 9. Coal: Five Day Week
CAB,195,5,33,27-Mar-47,Notebook,CM (47) 33,1. Parliament: 2. Town Planning: Powers of City of London; 3. Shipping: Use of Liberty Ships with Gunman Crews; 4. Olympic Games; 5. Sugar Supplies; 6. Domestic Fuel Rationing; 7. Palestine: Public Order
CAB,195,5,34,1-Apr-47,Notebook,CM (47) 34,2. Parliament; 3. Armed Forces: Man Power; 4. India; 5. Power Station at Bankside; 6. Public Boards: Political Activities of Members; 7. Japanese Reparations; 8. Displaced Persons; 9. Agricultural Losses and Arrears; 10. Germany: Food Production in B. Zone; 11. Administration of Criminal Justice in Colonies
CAB,195,5,35,3-Apr-47,Notebook,CM (47) 35,1. Germany: Use of Liberty Ships; 2. International Meteorological Organisation; 3. United Nations Organisations; 4. U.N.E.S.C.O. First General Conference; 5. National Service Bill
CAB,195,5,36,14-Apr-47,Notebook,CM (47) 36,1. The Budget; 2. India: Compensation for S/S. Services; 3. Glasgow Dock Strike
CAB,195,5,37,17-Apr-47,Notebook,CM (47) 37,1. Parliament; 2. India; 3. Anglo Soviet Treaty; 4. Industrial Emergencies; 5. Wheat Supplies; 6. Wheat Conference; 7. Nationalisation of Steel and Gas Industries
CAB,195,5,38,22-Apr-47,Notebook,CM (47) 38,1. Anglo. Egyptian Treaty; 2. Supply of Arms to Argentine; 3. Anglo. Soviet Treaty; 4. Cyrenaica; 5. Wheat Supplies; 6. Civil Service Man Power; 7. Civil Aviation: Purchase of U.S. Types
CAB,195,5,39,24-Apr-47,Notebook,CM (47) 39,1. Home Food Production; 2. Parliament; 3. Anglo. Egyptian Treaty; 4. National Service Bill; 5. Ration Changes; 6. Iron and Steel Nationalisation Bill
CAB,195,5,40,28-Apr-47,Notebook,CM (47) 40,1. Coal: Allocation to Building Materials Industries; 2. Iron and Steel Industry: Nationalisation Scheme
CAB,195,5,41,29-Apr-47,Notebook,CM (47) 41,1. Dockers' Strike; 2. Palestine: Submission to United Nations; 3. National Service Bill; 4. Industrial Organisation Bill; 5. Mid-Week Sport
CAB,195,5,42,1-May-47,Notebook,CM (47) 42,1. Parliament; 2. Public Boards: Political Activities; 3. Palestine: Illegal Immigration; 4. Coal: Allocations to Industry; 5. International Allocation of Timber; 6. Iron and Steel Nationalisation Bill; 7. Poland; 8. Germany: Fusion of British and U.S. Zone; 9. Dockers' Strike
CAB,195,5,43,2-May-47,Notebook,CM (47) 43,Moscow Meeting of Council of Foreign Ministers
CAB,195,5,44,6-May-47,Notebook,CM (47) 44,1. Future Meetings; 2. Poland; 3. Ceylon: Constitutional Development; 4. Railway Charges and Wages Claims; 5. Iron and Steel Nationalisation Bill; 6. Leakages of Information; 7. Coal: Strike in Durham
CAB,195,5,45,8-May-47,Notebook,CM (47) 45,1. Financial Relations with Local Authorities; 2. Parliament
CAB,195,5,46,13-May-47,Notebook,CM (47) 46,1. Germany: Administration of Combined Zone; 2. Newfoundland; 3. Ukraine: Establishment of Diplomatic Relations; 4. I.L.O. Social Policy in Dependent Territories; 5. Radio-Active Substances Bill
CAB,195,5,47,15-May-47,Notebook,CM (47) 47,"1. Parliament; 2. National Service Bill; 3. Legislative Programme for 1947/48 Session; 4. Paper for ""Action""; 5. India: Return of Viceroy"
CAB,195,5,48,20-May-47,Notebook,CM (47) 48,1. Cyrenaica; 2. Indonesia; 3. Coal Imports; 4.  Palestine: Financial Situation; 5. Payment of Expenses of Members of Local Authorities
CAB,195,5,49,22-May-47,Notebook,CM (47) 49,1. Parliament; 2. Antiqui: Compensation to Widow; 3. Bankside Power Station; 4. Level of Industry in Germany; 5. Procedure for Japanese Peace Settlement; 6. Civil Service; 7. Equal Pay; 8. Agricultural Losses Due to Floods
CAB,195,5,50,23-May-47,Notebook,CM (47) 50,India: Constitutional Position
CAB,195,5,51,17-Aug-47,Notebook,CM (47) 71,1. Balance of Payments; 2. Coal: Hours of Work of Miners
CAB,195,5,52,19-Aug-47,Notebook,CM (47) 72,1. Balance of Payments
CAB,195,5,53,20-Aug-47,Notebook,CM (47) 73,1. Balance of Payments; 2. Coal: Hours of Work of Miners
CAB,195,5,54,25-Aug-47,Notebook,CM (47) 74,Miners Hours; 1. Balance of Payments: Planning Board - Cuts in Food Consumption - Basic Petrol Ration - Prices of Gas and Electricity - Agricultural Machinery - Colonies - Rubber - Cocoa - Lead - Tin - Housing - Administration Machinery - Standardisation of Motor Industry - Announcement
CAB,195,5,55,9-Sep-47,Notebook,CM (47) 75,1. Parliament; 2. British Nationality Bill; 3. Control of Engagement Order; 4. Housing: Priority for Miners and Farm Workers; 5. Export Programme; 6. Coal: Extension of Working Hours; 7. Economic Situation: Representation by F.B.I.; 8. Meetings of International Fund and Bank
CAB,195,5,56,2-Oct-47,Notebook,CM (47) 78,1. Lord Mayor's Dinner; 2. Wedding Present for Princess Elizabeth; 3. Burma: Constitutional Position; 4. Defence Requirements; 5. Petrol Rationing; 6. Control of Steel Distribution
CAB,195,5,57,9-Oct-47,Notebook,CM (47) 79,1. Parliament; 2. Budget; 3.  Anglo-Iraqi Treaty; 4. International Meetings; 5. Trade Negotiations: U.S. Requests on Preferences; 6. Economic Recovery of Europe: U.S. Assistance; 7. Government Bulk Purchase: Food &amp; Materials; 8. Bacon Ration; 9. Priorities; 10. Prize Money
CAB,195,5,58,14-Oct-47,Notebook,CM (47) 80,1. Marriage of Princess Elizabeth; 2. [Legislative Programme.] Reform of House of Lords; 3. Legislative Programme; 4. King's Speeches
CAB,195,5,59,20-Oct-47,Notebook,CM (47) 81,1. Parliament; 2. Amendment of Parliament Act; 3. Balance of Payments
CAB,195,5,60,23-Oct-47,Notebook,CM (47) 82,1. Parliament; 2. Parliament: Committee on Privileges; 3. Food: Potato Supplies
CAB,195,5,61,30-Oct-47,Notebook,CM (47) 83,1. Illness of Minister of Transport; 2. Parliament; 3. Parliament Act Amendment Bill; 4. Law Reform (Personal Injuries) Bill; 5. Man Power: Registration of Street Traders; 6. International Bill of Human Rights; 7. I.T.O. Geneva Conference
CAB,195,5,62,3-Nov-47,Notebook,CM (47) 84,1. Criminal Justice Bill; 2. Cereals: Bread Rationing; 3. Sugar
CAB,195,5,63,6-Nov-47,Notebook,CM (47) 85,1. Parliament; 2. India; 3. Civil Aviation
CAB,195,5,64,11-Nov-47,Notebook,CM (47) 86,1. Budget; 2. Palestine
CAB,195,5,65,13-Nov-47,Notebook,CM (47) 87,1. Parliament; 2. Parliament Bill; 3. Civil List. Princess Elizabeth; 4. Wages Policy
CAB,195,5,66,17-Nov-47,Notebook,CM (47) 88,1. Resignation of H. Dalton: Demand for Select Cttee; 2. Savoy Hotel Strike
CAB,195,5,67,18-Nov-47,Notebook,CM (47) 89,1. Foreign Affairs; 2. Steel Priority System; 3. Parliament; 4. Budget Leakage: Select Committee; 5. Criminal Justice Bill: Capital Punishment; 6. Savoy Hotel Strike
CAB,195,5,68,25-Nov-47,Notebook,CM (47) 90,1. Food: Christmas Bonuses; 2. Foreign Affairs; 3. Select Committee: Allighan Case: Motion affecting Press; 4. Balance of Payments; 5. Emergency Laws Bill: Billeting Powers
CAB,195,5,69,27-Nov-47,Notebook,CM (47) 91,1. Parliament; 2. Parliament: Motion about Journalists; 3. Requisitional Land &amp; War Works Bill; 4. Food Prices
CAB,195,5,70,2-Dec-47,Notebook,CM (47) 92,1. Parliament Bill; 2. Economic Affairs; 3. Japan: Peace Treaty; 4. Civil List: Provision for H.R.H. Princess Elizabeth &amp; Duke of Edinburgh; 5. India
CAB,195,5,71,4-Dec-47,Notebook,CM (47) 93,1. Palestine; 2. Parliament: Business for Next Week; 3. Civil List; 4. Services' Land Requirements
CAB,195,5,72,11-Dec-47,Notebook,CM (47) 94,1. Local Authorities: Voting by Co-operative Society Members; 2. Parliament; 3. Parliament: Members' Pensions Fund; 4. Scotland: Devolution; 5. Food Prices
CAB,195,5,73,15-Dec-47,Notebook,CM (47) 95,1. Death of Earl Baldwin; 2. Civil List: Provision for Princess Elizabeth; 3. Economic Affairs; 4. Building Programme: Priority of Labour; 5. Civil Aviation: Tudor Aircraft Enquiry; 6. White Fish Industry; 7. Council of Foreign Ministers
CAB,195,5,74,18-Dec-47,Notebook,CM (47) 96,1. Ceylon: Gift on Occasion of New Constitution; 2. Parliament; 3. Precedence of Duke of Edinburgh; 4. Germany: Fusion Agreement; 5. Council of Foreign Ministers: Parliamentary Statement; 6. Electoral Reform; 7. Oil Supplies; 8. Canada. Trade Negotiations
CAB,195,6,1,6-Jan-48,Notebook,CM (48) 1,1. Defence Estimates; 2. Economic Affairs; 3. Mid-Week Sport in 1948; 4. Summertime in 1948; 5. House of Lords Reform
CAB,195,6,2,8-Jan-48,Notebook,CM (48) 2,1. The Antarctic; 2. Tourist Travel; 3. Germany; 4. Austria; 5. Foreign Policy; 6. Leakage of Information
CAB,195,6,3,13-Jan-48,Notebook,CM (48) 3,1. Fats Ration; 2. Allocation of Resources; 3. Gas Bill
CAB,195,6,4,15-Jan-48,Notebook,CM (48) 4,1. Foreign Travel and Basic Petrol Ration; 2. Civil Aviation. Tudor I. Enquiry; 3. Political Activities of Civil Servants
CAB,195,6,5,19-Jan-48,Notebook,CM (48) 5,1. Germany: Frankfurt Agreement; 2. Cyrenaica; 3. Functions of Judge Advocate General; 4. Production of Ground Nuts in E. Africa; 5. National War Memorial; 6. Electoral Reform Bill; 7. Parliament Bill: House of Lords Reform; 8. Civil Aviation: Ordering of Aircraft
CAB,195,6,6,22-Jan-48,Notebook,CM (48) 6,1. National Health Service: Discussions with Doctors; 2. Iraq; 3. Parliament; 4. Scotland: Devolution; 5. Economic Affairs
CAB,195,6,7,26-Jan-48,Notebook,CM (48) 7,"1. Iraq; 2. Potato Supplies; 3. Export Targets &amp; Textiles; 4. Devaluation of French Franc; 5. M: Churchill's ""Second World War"""
CAB,195,6,8,29-Jan-48,Notebook,CM (48) 8,1. Local Governmant Bill: Co-operative Societies; 2. Parliament; 3. National Health Service: Doctors; 4. Parliament Bill: House of Lords Reform; 5. Antarctic: Deception Island; 6. Palestine; 7. Wages
CAB,195,6,9,2-Feb-48,Notebook,CM (48) 9,1. Parliament Bill: House of Lords Reform; 2. National Health Service; 3. Wages Policy; 4. Steel Scrap
CAB,195,6,10,3-Feb-48,Notebook,CM (48) 10,1. Parliament Bill: House of Lords Reform
CAB,195,6,11,5-Feb-48,Notebook,CM (48) 11,1. Parliament; 2. Wages Policy; 3. Parliament Bill; 4. Eonomic Affairs; 5. Defence White Paper; 6. U.N.E.S.C.O Second General Conference; 7. Political Activities of Civil Servants
CAB,195,6,12,12-Feb-48,Notebook,CM (48) 13,1. Parliament; 2. Representation of the People Bill; 3. Oswald Mosley: Application for Passport; 4. India: Security Council; 5. Western Union
CAB,195,6,13,16-Feb-48,Notebook,CM (48) 14,1. Germany; 2. Argentine: Trade Agreement; 3. Dollar Positon in 1948 - Oil - Exports to Canada; 4. House of Lords Reform
CAB,195,6,14,19-Feb-48,Notebook,CM (48) 15,1. Parliament; 2. Food Prices; 3. Economic Affairs - Coal - Steel Scrap - Agriculture - B/Payments - Genl. Trade Position; 4. Wages Policy - a) Information on Claims - b) Enquiries about Price Increases; 5. Use of Naval Dockyards
CAB,195,6,15,23-Feb-48,Notebook,CM (48) 16,1. Palestine; 2. Antarctic; 3. Western Union: Organisation; 4. Economic Survey - Coal Target - Cotton Target - Form; 5. Housing Programme
CAB,195,6,16,26-Feb-48,Notebook,CM (48) 17,1. Parliament; 2. House of Commons: Members' Pensions Fund; 3. Local Government Bill; 4. Political Activities of Members of Board; 5. National Theatre
CAB,195,6,17,4-Mar-48,Notebook,CM (48) 18,1. Parliament; 2. Parliament - House of Lords; 3. Legislative Programme for 1948/49; 4. Economic Affairs
CAB,195,6,18,5-Mar-48,Notebook,CM (48) 19,1. Foreign Policy in Europe
CAB,195,6,19,8-Mar-48,Notebook,CM (48) 20,1. Siam; 2. European Recovery Programme: Continuing Organisation; 3. Germany: Tripartite Discussions; 4. Monopolistic Practices Bill; 5. Wages Policy; 6. Electoral Reform; 7. House of Lords Refrom
CAB,195,6,20,11-Mar-48,Notebook,CM (48) 21,1. Monopolistic Practices Bill; 2. Ration Scales for Forces Overseas; 3. Parliament - Palestine Bill - Easter Recess - Budget Debate - Statement on Communists &amp; Fascists in G. Service - Broadcasts for Greater Output - Bust of Snowden to be put in H/Commons; 4. Silver Wedding of King &amp; Queen; 5. Parliament: Amendment of Parliament Bill; 6.Lane Pictures; 7. Transjordan; 8. Western Union; 9. Germany - Conference
CAB,195,6,21,15-Mar-48,Notebook,CM (48) 22,1. Foreign Policy in Europe; 2. International Trade Organisation; 3. Fees for Less of Development Values; 4. Pay of Senior Police Officers
CAB,195,6,22,18-Mar-48,Notebook,CM (48) 23,"1. Parliament; 2. Parliamentary Procedure: Effect of Local Govt. Bill; 3. Service Accommodation in U.K; 4. Economic Affairs; 5. Strike of Boiler-men etc., under M/Works"
CAB,195,6,23,22-Mar-48,Notebook,CM (48) 24,"1. Criminal Justice Bill; 2. Parliament; 3. Political Activities of Civil Servants; 4. Publication of Diplomatic Documents; 5. Western Union: Foreign Affairs; 6. Palestine; 7. Development Values: Payment of Professional Fees; 8. Monopolistic Practises Bill; 9. Petrol Rationing; 10. Paper for ""Action"""
CAB,195,6,24,25-Mar-48,Notebook,CM (48) 25,1. Communists in Government Service; 2. Wages Policy
CAB,195,6,25,5-Apr-48,Notebook,CM (48) 26,"1. Mr Mackenzie King; 2. ""Polish Daily"" Employment of Poles; 3. Budget; 4. France: Balance of Payments Defecit; 5. Strike of Vehicle Makers; 6. Disabled Persons Act"
CAB,195,6,26,8-Apr-48,Notebook,CM (48) 27,1. Parliament; 2. Criminal Justice Bill: Death Penalty; 3. Germany: Loss of British Aircraft; 4. Germany: Traffic into Berlin; 5. Austria; 6. Finalnd; 7. Italy; 8. Steel Scrap
CAB,195,6,27,15-Apr-48,Notebook,CM (48) 28,1. Parliament; 2. Capital Punishment; 3. Economic Affairs; 4. Wages Policy; 5. House of Lords Reform; 6. Public Boards: Appointment of Local Authority Officials
CAB,195,6,28,22-Apr-48,Notebook,CM (48) 29,1. Parliament - H/Lords; 2. Labour Party: Platts-Mills &amp; Telegram to S. Nermi; 3. Treaty of Brussels; 4. European Economic Co-operation
CAB,195,6,29,29-Apr-48,Notebook,CM (48) 30,1.Parliament - Criminal Justice Bill: House of Lords; 2. Cabinet's Wedding Present to Their Majesties; 3. National Health Service; 4. Housing Programme; 5. Fascism: Mosley Meeting; 6. House of Lords Refrom; 7. Palestine; 8. Cyprus: Constitutional Refrom; 9. Germany: Capital Punishment; 10. Civil Aviation: Purchase of M.S. Aircraft
CAB,195,6,30,6-May-48,Notebook,CM (48) 31,1. Parliament; 2. British Fascist Movement; 3. Steel Scrap from Germany; 4. European Finance Ministers Meeting; 5. Economic Affairs; 6. Coal/Oil Conversion Programmes; 7. Supplementary Pesion Schemes for Miners; 8. British Nationality Bill
CAB,195,6,31,13-May-48,Notebook,CM (48) 32,1. Parliament; 2. Patent Law Reform; 3. Ceylon: Financial Agreement; 4. Resumption of Trade with Phillipines
CAB,195,6,32,27-May-48,Notebook,CM (48) 33,1. Parliament; 2. Commonwealth - Nomenclature; 3. Stanford Training Area; 4. Death Penalty in Services; 5. Economical Affairs; 6. Palestine; 7. Atlantic Regional Pact; 8. Discussions on Germany
CAB,195,6,33,31-May-48,Notebook,CM (48) 34,1. Palestine; 2. Germany - a) Political Structure - b) The Ruhr: and Security against Germany - c) Currency Refrom - Political Structure - Political: Adjustment of Land Boundaries - Security against Germany
CAB,195,6,34,3-Jun-48,Notebook,CM (48) 35,1. Ministers' Summer Holidays; 2. Mr. Dalton; 3. Parliament; 4. Capital Punishment; 5. Parliament Bill; 6. Anglo-Egyptian Conversations on Sudan; 7. Palestine; 8. Steel Scrap from Germany; 9. Social Services in W. Europe; 10. Conference on Freedom of Information
CAB,195,6,35,14-Jun-48,Notebook,CM (48) 39,1. Sudan;  2. Germany; 3. Burma; 4. E.R.P; 5. Iron and Steel Bill - a) Scheme C. or D. - b) No Option to come into Nationalised industry - c) Wide Powers for Corporation - d) Parliamentary Timetable - e) The Case for the Bill - f) Consultation with Indusrty - g) Leakage of Information; 6. Parliamentary Bill
CAB,195,6,36,17-Jun-48,Notebook,CM (48) 40,1. Parliament; 2. Economic Affairs - Production - External Trade - Balance of Payments - Financial Agreements with India &amp; Pakistan; 3. International Wheat Agreement; 4. Civil Service: Pensions for Widows etc.
CAB,195,6,37,22-Jun-48,Notebook,CM (48) 41,1. Dockers Strike; 2. U.K. Grain Supplies - Bread Rationing - Farmers Wheat; 3. British Nationality Bill
CAB,195,6,38,24-Jun-48,Notebook,CM (48) 42,1. Dockers Strike; 2. Germany; 3. Parliament; 4. India &amp; Pakistan: Sterling Balances; 5. E.R.P Biliteral Agreement; 6. Supplementary Benefits for Miners
CAB,195,6,39,25-Jun-48,Notebook,CM (48) 43,1. E.R.P Biliteral Agreements; 2. Dock Strike; 3. Germany: Situation in Berlin
CAB,195,6,40,28-Jun-48,Notebook,CM (48) 44,1. E.R.P Biliteral Allocation Procedure; 2. Dock Strike; 3. E.R.P Biliteral Agreement; 4. Germany
CAB,195,6,41,29-Jun-48,Notebook,CM (48) 45,1. Dock Strike; 2. Yugoslavia
CAB,195,6,42,1-Jul-48,Notebook,CM (48) 46,1. Germany; 2. Palestine; 3. Yugoslavia; 4. Parliament; 5. Supplementary Injuries Scheme for Miners; 6. Steel Scrap - a) Germany - b) Graham Cunningham Report
CAB,195,6,43,5-Jul-48,Notebook,CM (48) 47,1. Berlin; 2. Palestine; 3. War Crimes: Trial of German Generals; 4. Criminal Justice Bill: Death Penalty; 5. International Wheat Agreement; 6. Civil Service Superannuation; 7. Industry Injuries: Supplementary Scheme for Miners; 8. E.R.P Basis of Loan; 9. Sympathy to C.E. over his Wife's Death
CAB,195,6,44,8-Jul-48,Notebook,CM (48) 48,1. Mr. Chifley; 2. Parliament; 3. Germany; 4. Balkans; 5. Palestine; 6. Economic Affairs
CAB,195,6,45,12-Jul-48,Notebook,CM (48) 49,1. Import Programmes - Annex A to 178. 177 - Wheat - Sugar - Tobacco - Raw Materials - Machinery - Annex B to C.P. 177 - Annex C to 177
CAB,195,6,46,13-Jul-48,Notebook,CM (48) 50,1. Import Programmes - Raw Materials - Machinery - Manufactured Goods - Sugar - Wheat; 2. Sudan
CAB,195,6,47,15-Jul-48,Notebook,CM (48) 51,1. Parliament; 2. Criminal Justice Bill: Capital Punishment; 3. Representation of the People Bill; 4. Electricity Peak Load; 5. Civil Aviation: Aircraft-Types - Courtney Report
CAB,195,6,48,19-Jul-48,Notebook,CM (48) 52,1. Mr. J Westwood; 2. Berlin; 3. Iron and Steel Bill; 4. Inter-Governmental Maritime Organisation; 5. Malaya
CAB,195,6,49,22-Jul-48,Notebook,CM (48) 53,1. E.R.P. Terms of Loan; 2. Parliament; 3. Capital Punishment; 4. British Nationality Bill: 5. Rhodesia: Amalgamation of Rhodesias; 6. Germany; 7. Middle East; 8. Antarctic; 9. Economic Affairs
CAB,195,6,50,29-Jul-48,Notebook,CM (48) 55,1. Parliament; 2. King's Speeches; 3. Civil Aviation; 4. War Pensions; 5. White Fish Industry
CAB,195,6,51,25-Oct-48,Notebook,CM (48) 66,1. Headquarters of U.N. Organisations: Location; 2. Steel Bill; 3. Private Members' Time; 4. Compensation for Minister Killed or Injured on Duty; 5. Cost of Information Services
CAB,195,6,52,28-Oct-48,Notebook,CM (48) 67,"1. Parliament; 2. Tribunal of Enquiry; 3. Commonwealth Relationship; 4. ""Brittish Commonwealth"" Title"
